request_time,wait_time,pick_index,drop_index,order_distance,order_fare,n_riders
68400,360,261,231,1609.0,6.0,1
68400,180,158,68,1287.0,6.0,1
68400,180,230,170,2414.0,12.0,1
68400,240,230,142,1432.0,8.0,1
68401,180,113,100,1770.0,9.0,1
68401,180,234,211,2092.0,8.0,1
68401,180,140,75,3058.0,8.0,1
68401,420,229,161,2269.0,10.0,1
68402,360,164,230,2945.0,16.0,1
68402,180,236,238,2414.0,9.0,1
68402,240,234,164,1674.0,7.0,1
68402,180,162,107,2575.0,10.0,1
68403,240,141,229,1448.0,6.0,1
68403,300,238,236,2414.0,8.0,1
68403,360,164,161,1770.0,6.0,1
68403,240,90,236,9495.0,25.0,1
68403,240,249,148,2350.0,11.0,1
68404,420,137,79,2752.0,10.0,1
68404,480,233,263,3846.0,12.0,1
68404,360,237,142,2446.0,10.0,1
68404,300,68,142,3750.0,10.0,1
68405,180,263,74,3380.0,8.0,1
68405,180,88,230,9495.0,22.0,1
68405,180,140,263,1175.0,4.0,1
68405,360,170,162,1159.0,5.0,1
68405,180,239,74,5874.0,15.0,1
68406,180,107,161,2736.0,14.0,1
68407,420,140,262,756.0,4.0,1
68407,300,186,249,2736.0,8.0,1
68407,420,164,170,998.0,6.0,1
68407,300,161,230,2253.0,14.0,1
68407,180,87,125,2945.0,10.0,1
68407,180,161,186,2044.0,11.0,1
68407,300,48,107,2140.0,7.0,1
68407,300,234,48,2575.0,17.0,1
68409,360,137,233,1110.0,5.0,1
68409,360,161,234,2736.0,12.0,1
68410,240,88,144,2865.0,9.0,1
68410,240,45,87,1915.0,8.0,1
68410,300,107,186,1400.0,6.0,1
68411,360,161,170,1529.0,10.0,1
68412,420,113,161,2832.0,10.0,1
68412,180,236,239,2800.0,8.0,1
68412,180,234,236,5198.0,16.0,1
68413,180,231,186,5633.0,14.0,1
68413,480,162,263,4361.0,14.0,1
68413,480,100,234,1996.0,9.0,1
68413,480,230,162,1127.0,7.0,1
68413,420,48,238,4410.0,13.0,1
68414,240,238,186,5311.0,18.0,1
68414,480,143,48,1851.0,10.0,1
68414,240,229,42,8208.0,20.0,1
68414,480,68,107,3219.0,12.0,1
68415,180,158,211,1931.0,8.0,1
68415,240,237,263,1320.0,6.0,1
68415,300,137,113,2253.0,10.0,1
68415,420,186,68,1062.0,4.0,1
68416,300,162,164,1625.0,6.0,1
68416,180,239,142,917.0,4.0,1
68416,360,162,87,8674.0,22.0,1
68417,240,246,48,2253.0,9.0,1
68417,420,237,142,2301.0,8.0,1
68418,420,186,211,3267.0,10.0,1
68418,180,143,239,1304.0,6.0,1
68418,300,43,186,3830.0,14.0,1
68418,300,186,162,1931.0,11.0,1
68418,360,234,230,2253.0,10.0,1
68419,180,113,246,2253.0,8.0,1
68419,480,68,48,1159.0,6.0,1
68419,420,90,125,2511.0,7.0,1
68419,180,48,90,4023.0,15.0,1
68419,360,263,151,3541.0,12.0,1
68419,180,68,45,5520.0,14.0,1
68420,420,261,45,1979.0,7.0,1
68421,480,161,170,1287.0,8.0,1
68422,360,141,263,1609.0,5.0,1
68422,360,237,48,2736.0,10.0,1
68422,180,249,239,9543.0,23.0,1
68422,420,211,233,4345.0,16.0,1
68422,300,170,234,805.0,5.0,1
68422,360,90,100,1287.0,6.0,1
68423,300,100,262,5938.0,16.0,1
68423,420,48,238,3380.0,10.0,1
68423,480,164,163,2446.0,11.0,1
68423,180,234,229,3380.0,10.0,1
68423,180,161,234,1947.0,8.0,1
68423,240,158,170,4828.0,15.0,1
68423,300,164,237,2575.0,8.0,1
68423,180,48,234,2269.0,9.0,1
68424,180,125,50,5134.0,15.0,1
68424,180,107,79,2092.0,8.0,1
68424,300,68,186,1287.0,9.0,1
68424,360,164,68,3074.0,9.0,1
68425,480,142,48,2655.0,13.0,1
68425,240,144,170,3219.0,10.0,1
68425,300,170,87,7580.0,18.0,1
68425,180,239,41,4908.0,14.0,1
68425,420,125,90,1931.0,6.0,1
68426,480,262,141,1786.0,10.0,1
68426,420,234,170,966.0,5.0,1
68426,360,68,246,950.0,4.0,1
68426,240,162,113,2752.0,8.0,1
68426,420,41,42,1609.0,6.0,1
68427,300,143,236,3701.0,14.0,1
68427,300,142,186,3621.0,18.0,1
68428,240,142,75,5246.0,13.0,1
68428,180,239,238,772.0,4.0,1
68428,180,162,140,2253.0,8.0,1
68428,180,113,246,2961.0,10.0,1
68428,300,231,48,7403.0,18.0,1
68429,180,79,246,4828.0,16.0,1
68429,420,79,249,1448.0,6.0,1
68429,420,186,48,2559.0,10.0,1
68430,240,211,125,612.0,4.0,1
68430,300,163,170,2414.0,12.0,1
68430,300,162,237,2317.0,8.0,1
68431,180,48,164,2897.0,10.0,1
68431,300,238,239,1287.0,4.0,1
68431,360,162,140,2736.0,8.0,1
68431,360,237,141,644.0,4.0,1
68431,420,48,170,1770.0,8.0,1
68431,300,249,79,1175.0,5.0,1
68431,180,114,144,805.0,4.0,1
68432,360,238,142,1931.0,8.0,1
68432,240,162,237,1287.0,6.0,1
68432,180,236,107,6357.0,16.0,1
68432,360,42,116,1239.0,6.0,1
68432,360,161,170,1754.0,10.0,1
68433,360,230,249,4265.0,14.0,1
68433,300,263,237,2478.0,11.0,1
68433,300,163,114,5440.0,18.0,1
68434,180,244,116,1577.0,6.0,1
68434,480,142,230,1770.0,8.0,1
68434,300,163,143,2865.0,8.0,1
68435,240,151,116,5150.0,12.0,1
68435,480,170,141,1963.0,8.0,1
68435,420,141,162,2189.0,10.0,1
68435,180,142,48,1770.0,6.0,1
68435,420,158,249,966.0,6.0,1
68435,240,79,68,3460.0,13.0,1
68436,420,90,249,1159.0,5.0,1
68436,420,125,246,4039.0,10.0,1
68436,420,230,246,1931.0,8.0,1
68436,300,68,141,6373.0,16.0,1
68436,240,186,107,1883.0,6.0,1
68437,240,263,90,8481.0,20.0,1
68438,180,239,238,1770.0,7.0,1
68438,240,261,246,5922.0,14.0,1
68438,180,163,43,885.0,4.0,1
68438,480,249,113,1609.0,7.0,1
68439,360,114,113,1609.0,8.0,1
68439,300,237,114,4474.0,13.0,1
68440,300,166,236,3927.0,12.0,1
68440,360,233,237,2092.0,8.0,1
68440,480,234,186,1625.0,6.0,1
68440,240,141,238,4361.0,12.0,1
68441,480,125,114,901.0,4.0,1
68442,360,239,170,5472.0,21.0,1
68442,360,262,140,579.0,8.0,1
68442,180,161,170,1609.0,8.0,1
68442,360,142,230,1722.0,8.0,1
68442,360,162,107,2414.0,8.0,1
68443,480,140,79,6920.0,16.0,1
68443,360,239,238,660.0,4.0,1
68443,360,74,236,4490.0,16.0,1
68443,360,162,234,2414.0,8.0,1
68444,480,114,107,2382.0,10.0,1
68444,360,50,186,1915.0,12.0,1
68445,360,13,234,3862.0,12.0,1
68445,480,162,249,5633.0,18.0,1
68445,420,143,142,1287.0,6.0,1
68445,360,229,237,1336.0,8.0,1
68446,240,140,43,2269.0,7.0,1
68446,300,90,163,3380.0,12.0,1
68446,180,230,142,853.0,4.0,1
68447,180,137,170,418.0,4.0,1
68448,360,161,229,1609.0,8.0,1
68448,420,114,234,3058.0,0.0,1
68448,360,114,68,2897.0,10.0,1
68449,360,233,186,1979.0,8.0,1
68449,420,237,238,3541.0,10.0,1
68449,240,142,141,2736.0,10.0,1
68449,300,236,141,2881.0,10.0,1
68450,240,113,79,740.0,4.0,1
68451,300,166,262,5311.0,15.0,1
68451,420,141,237,1448.0,10.0,1
68452,240,229,263,2092.0,8.0,1
68452,480,163,4,8175.0,20.0,1
68452,420,236,75,966.0,4.0,1
68453,180,246,68,2092.0,8.0,1
68453,240,234,249,3862.0,12.0,1
68454,300,246,249,3492.0,10.0,1
68454,480,263,141,1320.0,5.0,1
68454,300,79,144,1545.0,7.0,1
68454,240,234,100,3090.0,12.0,1
68455,240,186,48,563.0,4.0,1
68455,300,13,12,1416.0,6.0,1
68456,180,151,166,1609.0,6.0,1
68456,240,163,79,4345.0,16.0,1
68456,480,114,234,1127.0,5.0,1
68457,240,231,237,14162.0,27.0,1
68458,480,211,170,3750.0,12.0,1
68458,360,237,236,2704.0,8.0,1
68458,420,43,262,2140.0,8.0,1
68458,420,246,48,966.0,6.0,1
68459,480,186,239,6405.0,22.0,1
68459,180,162,107,1609.0,6.0,1
68459,180,239,262,2881.0,8.0,1
68459,480,158,114,2237.0,9.0,1
68459,240,141,229,3187.0,8.0,1
68460,420,90,249,2092.0,8.0,1
68460,180,246,74,9737.0,20.0,1
68460,240,162,144,5440.0,14.0,1
68460,480,186,161,2720.0,15.0,1
68460,420,113,246,5440.0,18.0,1
68460,240,48,100,1481.0,8.0,1
68460,420,236,238,3219.0,12.0,1
68460,240,239,238,1416.0,6.0,1
68460,360,164,229,3331.0,12.0,1
68461,300,75,236,1465.0,6.0,1
68462,180,237,236,2865.0,8.0,1
68462,300,50,243,12923.0,24.0,1
68462,180,237,142,2076.0,7.0,1
68462,420,236,75,1287.0,5.0,1
68462,480,239,43,1642.0,6.0,1
68462,480,186,234,1336.0,7.0,1
68463,240,140,263,1110.0,4.0,1
68463,240,262,230,5729.0,18.0,1
68463,480,140,161,2752.0,10.0,1
68463,480,186,87,5311.0,14.0,1
68464,480,68,224,3090.0,14.0,1
68464,300,224,237,4506.0,16.0,1
68465,240,113,158,1770.0,6.0,1
68465,480,163,239,3235.0,9.0,1
68465,240,114,148,1609.0,6.0,1
68466,300,161,232,5874.0,16.0,1
68466,240,234,262,6920.0,18.0,1
68466,360,164,231,5810.0,19.0,1
68466,360,263,43,2736.0,12.0,1
68466,240,263,233,5086.0,12.0,1
68467,360,162,237,2221.0,9.0,1
68467,240,68,262,7403.0,19.0,1
68467,480,140,230,2881.0,12.0,1
68468,420,161,68,2639.0,10.0,1
68468,480,231,166,11442.0,25.0,1
68468,240,162,144,4474.0,16.0,1
68468,240,41,116,3009.0,8.0,1
68469,480,142,238,2076.0,7.0,1
68469,240,238,163,4265.0,11.0,1
68469,360,158,231,2720.0,9.0,1
68470,180,50,100,2607.0,10.0,1
68470,480,249,143,5391.0,14.0,1
68470,240,234,170,1223.0,6.0,1
