day,request_time,order_distance,order_fare,pick_index,drop_index,order_time
25,73390,1819.0,7.0,234,68,480
27,73236,4184.0,11.5,164,236,785
14,68991,966.0,4.0,229,237,125
3,70209,1947.0,7.5,246,230,563
27,65904,4136.0,16.0,161,79,1415
4,75700,3701.0,10.0,230,236,656
26,72875,10783.0,23.5,231,262,1573
25,69900,2511.0,10.5,229,161,926
13,66948,2736.0,11.5,230,237,1009
13,78699,6421.0,22.0,100,170,2138
3,75558,3170.0,9.5,237,143,640
13,71426,1931.0,5.5,158,246,210
28,75953,4039.0,11.5,211,68,826
17,74661,1770.0,5.5,249,231,270
19,78053,9173.0,22.0,158,236,1590
10,66900,789.0,4.5,262,140,227
3,72232,5102.0,13.0,164,43,877
13,72873,3396.0,9.5,68,48,638
7,67208,3701.0,12.0,263,142,1003
12,68837,1931.0,9.0,100,162,746
18,66784,3862.0,10.5,163,68,821
13,74420,2607.0,9.5,249,79,779
24,68377,10911.0,22.5,231,262,1273
12,66052,1609.0,7.5,148,211,557
19,75862,2253.0,7.0,236,238,411
10,69077,2092.0,8.5,161,142,669
27,76266,5311.0,15.0,230,263,1166
24,75803,10461.0,20.5,261,151,1151
27,69910,4377.0,11.5,107,140,759
7,68508,8819.0,24.5,186,42,2014
17,66576,4345.0,11.0,233,4,636
20,72384,3187.0,10.0,100,158,776
25,79022,1674.0,10.0,162,230,896
6,74218,4667.0,11.0,261,4,574
27,69481,3782.0,11.0,170,142,811
19,75661,5456.0,16.0,113,232,1256
27,67487,821.0,4.0,237,236,206
10,79169,4345.0,11.0,262,170,668
12,68894,3058.0,10.5,170,113,906
3,70963,1046.0,4.5,236,237,225
10,66409,1127.0,5.0,113,90,247
14,65042,966.0,5.0,164,234,242
18,76519,3508.0,9.0,87,158,577
28,65263,1706.0,7.5,107,162,652
7,77515,1609.0,5.5,140,236,315
26,77586,2414.0,8.0,237,161,526
6,74672,3170.0,9.0,263,151,557
10,70822,1609.0,7.0,43,163,457
14,64966,5584.0,15.5,161,151,1220
6,75271,4184.0,14.0,74,24,1196
13,78537,8047.0,20.5,142,42,1607
14,78177,2849.0,12.5,48,186,1179
26,77916,5407.0,15.0,170,236,1185
24,76835,3669.0,11.5,239,262,900
14,65522,2655.0,10.5,163,50,834
25,72401,3862.0,8.5,236,166,416
19,77577,901.0,4.5,164,186,220
28,72640,3541.0,11.0,164,141,780
26,72423,2655.0,8.5,237,239,550
5,67424,7564.0,22.5,13,161,1917
27,74505,6389.0,22.5,13,50,1960
17,78325,2575.0,9.5,162,234,716
17,69942,1593.0,5.0,237,236,171
4,77564,6116.0,16.0,43,79,1210
13,74963,1513.0,7.0,161,233,513
27,77149,3846.0,11.5,140,170,937
20,72838,4394.0,14.5,237,68,1231
4,67945,4667.0,12.0,164,231,883
26,67784,3428.0,9.5,239,166,615
11,69304,966.0,6.5,229,163,492
20,65203,3541.0,13.0,233,263,1129
11,72632,2140.0,8.5,162,100,683
11,75772,5584.0,14.0,234,236,1005
6,68565,1287.0,5.5,239,142,362
24,68798,2897.0,12.0,249,230,1044
26,78959,5472.0,14.0,107,237,1058
3,76179,3846.0,11.5,230,137,889
3,72046,3862.0,11.0,141,238,776
14,69636,3862.0,14.0,186,237,1152
28,71901,1883.0,7.0,249,234,438
13,66572,1448.0,6.0,137,107,429
4,69657,1931.0,8.0,161,229,602
13,65227,1191.0,6.0,79,114,409
12,69430,1191.0,-5.5,107,170,338
13,73155,4136.0,11.0,158,13,628
13,67409,1802.0,8.0,161,100,623
19,72827,1368.0,5.5,229,170,332
11,75587,4587.0,12.0,234,229,813
24,65528,950.0,6.0,246,186,373
7,69497,3701.0,12.5,233,249,1091
4,70587,2430.0,9.5,231,148,837
28,67434,7081.0,16.5,12,48,1093
19,74739,4184.0,11.0,249,48,794
28,75852,1287.0,8.5,161,186,693
25,66094,2253.0,10.5,238,236,854
13,78059,3090.0,9.5,239,141,711
5,78453,2285.0,8.0,100,43,525
19,65475,7628.0,22.0,48,13,1757
12,74342,1593.0,6.5,231,148,456
28,75704,3154.0,11.0,13,144,943
13,70391,5584.0,17.0,209,186,1515
3,70601,1448.0,7.0,144,232,491
